id,xP
1,5.0
2,0.0
3,0.0
4,5.0
5,0.0
6,0.0
7,2.7
8,7.3
9,0.7
10,6.7
11,3.0
12,7.3
13,4.3
14,0.7
15,8.0
16,0.7
17,0.7
18,0.0
19,1.0
20,0.0
22,0.0
23,0.0
24,0.0
25,0.3
26,5.3
27,0.0
31,1.7
452,0.2
557,3.7
29,0.3
30,0.0
32,2.3
33,2.3
34,0.7
35,0.3
36,2.7
37,2.0
38,0.0
39,0.0
41,2.3
44,0.0
45,1.7
46,2.3
47,2.3
48,0.0
49,0.0
50,0.0
51,2.3
52,0.7
53,0.0
54,0.0
55,0.0
56,0.7
160,1.0
166,1.3
582,0.0
596,0.7
597,4.0
606,0.0
607,0.0
611,1.0
618,0.0
630,1.8
631,2.2
57,2.0
58,0.0
59,0.0
60,2.0
61,1.7
62,0.0
63,0.0
64,0.7
65,0.0
66,0.0
67,2.0
68,7.0
69,8.0
70,2.3
71,2.3
72,0.7
73,2.0
74,0.7
75,0.7
76,0.3
77,0.0
78,0.0
79,3.7
80,0.0
81,0.3
566,2.3
573,0.0
608,0.7
615,0.0
82,3.7
83,0.0
84,3.3
85,0.0
86,6.0
87,4.3
88,5.3
89,0.3
90,1.0
92,0.0
93,1.3
94,5.0
95,1.7
96,4.0
97,0.0
98,7.0
99,0.0
100,0.0
102,0.7
103,0.0
105,1.3
106,1.3
107,0.0
108,1.0
565,6.0
620,0.0
109,3.0
111,0.0
113,0.7
114,2.3
115,7.0
116,3.3
117,0.0
118,0.0
119,0.7
120,0.0
121,0.0
122,0.0
123,2.6
124,5.3
125,1.3
126,0.0
127,4.3
128,0.0
129,1.0
130,0.0
132,0.0
133,0.0
134,0.0
135,0.3
137,0.0
138,2.7
139,0.0
328,0.3
504,6.0
594,0.3
600,0.7
605,3.7
614,0.0
624,0.0
639,2.0
652,0.0
28,1.7
40,6.3
101,0.0
136,0.3
140,0.0
141,0.0
142,0.7
143,0.0
144,1.0
145,1.0
146,0.0
148,2.7
149,0.3
150,0.0
151,1.7
152,0.0
154,7.0
156,3.3
157,0.7
158,0.0
159,0.2
161,3.0
163,0.0
164,0.3
165,7.0
168,0.0
169,0.0
170,0.0
200,3.0
560,0.0
561,0.0
568,0.3
583,1.0
91,1.3
104,1.3
110,1.7
171,0.0
172,0.0
173,5.0
174,0.0
175,2.0
176,1.7
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,1.3
183,2.0
184,2.0
185,0.3
186,1.0
187,0.0
188,0.7
189,0.0
190,1.3
191,0.0
192,0.0
193,0.0
194,1.3
195,1.0
196,0.0
197,0.0
492,1.7
575,1.7
584,1.0
599,0.0
623,0.0
42,0.7
153,1.3
198,1.7
199,0.0
202,1.3
203,0.7
204,5.3
205,0.0
206,0.0
207,0.7
208,0.0
210,2.7
211,3.7
212,0.3
213,0.0
214,3.3
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.3
223,0.0
224,2.3
225,0.0
241,1.0
555,0.0
577,0.7
588,2.0
595,0.3
633,1.8
643,1.8
644,1.5
647,2.0
21,0.0
209,1.0
226,3.7
227,0.0
228,0.0
229,7.0
230,4.3
231,0.0
232,0.0
233,3.7
234,0.0
235,0.0
236,5.0
238,0.7
239,1.3
242,5.0
243,0.3
244,3.7
245,0.0
246,2.0
247,2.7
248,0.0
249,4.0
649,1.8
654,1.0
250,2.0
251,0.0
252,0.0
253,0.7
254,1.3
255,1.0
256,0.0
257,1.0
258,4.3
261,2.0
262,0.7
263,0.7
264,2.3
265,1.7
266,0.0
268,6.3
269,1.0
270,0.0
271,0.7
272,0.0
569,3.3
570,3.7
580,1.3
610,0.0
626,0.0
635,1.5
636,1.5
650,1.8
240,0.3
273,0.0
274,0.0
275,0.0
276,0.0
277,7.7
278,0.0
279,8.3
280,3.0
281,0.0
282,6.7
283,0.0
284,0.0
285,0.3
286,4.7
287,0.0
288,0.0
289,0.5
290,3.7
291,0.0
292,0.0
293,0.0
294,0.0
295,2.7
296,0.0
297,0.0
298,0.0
299,0.0
340,0.0
556,0.3
563,0.3
572,8.7
574,0.3
576,2.0
585,1.0
586,8.0
589,1.0
617,1.0
632,1.4
637,1.4
638,1.0
642,2.0
645,1.5
259,2.3
267,2.7
300,0.0
